bar_index,time,open,high,low,close,volume
49,1745847000,210,211.5,207.46,210.14,38743074
50,1745933400,208.693,212.24,208.37,211.21,36827633
51,1746019800,209.3,213.58,206.6705,212.5,52286454
52,1746106200,209.08,214.56,208.9,213.32,57365675
53,1746192600,206.09,206.99,202.16,205.35,101010621
54,1746451800,203.1,204.1,198.21,198.89,69018452
55,1746538200,198.21,200.65,197.02,198.51,51216482
56,1746624600,199.17,199.44,193.25,196.25,68616943
57,1746711000,197.72,200.05,194.6796,197.49,50478872
58,1746797400,199,200.5399,197.535,198.53,36453923
59,1747056600,210.97,211.2679,206.75,210.79,63775814
60,1747143000,210.43,213.4,209,212.93,51909332
61,1747229400,212.43,213.94,210.5801,212.33,49325825
62,1747315800,210.95,212.96,209.54,211.45,45029473
63,1747402200,212.36,212.57,209.77,211.26,54737850
64,1747661400,207.91,209.48,204.26,208.78,46140527
65,1747747800,207.67,208.47,205.03,206.86,42496635
66,1747834200,205.17,207.04,200.71,202.09,59211774
67,1747920600,200.71,202.75,199.7,201.36,46742407
68,1748007000,193.665,197.7,193.46,195.27,78432918
69,1748352600,198.3,200.74,197.43,200.21,56288475
70,1748439000,200.59,202.73,199.9,200.42,45339678
71,1748525400,203.575,203.81,198.51,199.95,51477938
72,1748611800,199.37,201.96,196.78,200.85,70819942
73,1748871000,200.28,202.13,200.12,201.7,35423294
74,1748957400,201.35,203.77,200.955,203.27,46381567
75,1749043800,202.91,206.24,202.1,202.82,43603985
76,1749130200,203.5,204.75,200.15,200.63,55221235
77,1749216600,203,205.7,202.05,203.92,46607693
78,1749475800,204.39,206,200.02,201.45,72862557
79,1749562200,200.6,204.35,200.57,202.67,54672608
80,1749648600,203.5,204.5,198.41,198.78,60989857
81,1749735000,199.08,199.68,197.3601,199.2,43904635
82,1749821400,199.73,200.37,195.7,196.45,51447349
83,1750080600,197.3,198.685,196.5636,198.42,43020691
84,1750167000,197.2,198.39,195.21,195.64,38856152
85,1750253400,195.94,197.57,195.07,196.58,45394689
86,1750426200,198.235,201.7,196.855,201,96813542
87,1750685400,201.625,202.3,198.96,201.5,55814272
88,1750771800,202.59,203.44,200.2,200.3,54064033
89,1750858200,201.45,203.67,200.6201,201.56,39525730
90,1750944600,201.43,202.64,199.46,201,50799121
91,1751031000,201.89,203.22,200,201.08,73188571
92,1751290200,202.01,207.39,199.2607,205.17,91912816
93,1751376600,206.665,210.1865,206.1401,207.82,78788867
94,1751463000,208.91,213.34,208.14,212.44,67941811
95,1751549400,212.145,214.65,211.8101,213.55,34955836
96,1751895000,212.68,216.23,208.8,209.95,50228984
97,1751981400,210.1,211.43,208.45,210.01,42848928
98,1752067800,209.53,211.33,207.22,211.14,48749367
99,1752154200,210.505,213.48,210.03,212.41,44443635
100,1752240600,210.565,212.13,209.86,211.16,39765812
101,1752499800,209.925,210.91,207.54,208.62,38840111
102,1752586200,209.22,211.89,208.92,209.11,42296339
103,1752672600,210.295,212.4,208.64,210.16,47490532
104,1752759000,210.57,211.8,209.59,210.02,48068141
105,1752845400,210.87,211.79,209.7045,211.18,48974591
106,1753104600,212.1,215.78,211.63,212.48,51377434
107,1753191000,213.14,214.95,212.2301,214.4,46404072
108,1753277400,215,215.15,212.41,214.15,46989301
109,1753363800,213.9,215.69,213.53,213.76,46022620
110,1753450200,214.7,215.24,213.4,213.88,40268781
111,1753709400,214.03,214.845,213.06,214.05,37858017
112,1753795800,214.175,214.81,210.82,211.27,51411723
113,1753882200,211.895,212.39,207.72,209.05,45512514
114,1753968600,208.49,209.84,207.16,207.57,80698431
115,1754055000,210.865,213.58,201.5,202.38,104434473
116,1754314200,204.505,207.88,201.675,203.35,75109298
117,1754400600,203.4,205.34,202.16,202.92,44155079
118,1754487000,205.63,215.38,205.59,213.25,108483103
119,1754573400,218.875,220.85,216.58,220.03,90224834
120,1754659800,220.83,231,219.25,229.35,113853967
121,1754919000,227.92,229.56,224.76,227.18,61806132
122,1755005400,228.005,230.8,227.07,229.65,55672301
123,1755091800,231.07,235,230.43,233.33,69878546
124,1755178200,234.055,235.12,230.85,232.78,51916275
125,1755264600,234,234.28,229.335,231.59,56038657
126,1755523800,231.7,233.12,230.11,230.89,37476188
127,1755610200,231.275,232.87,229.35,230.56,39402564
128,1755696600,229.98,230.47,225.77,226.01,42263865
129,1755783000,226.27,226.52,223.7804,224.9,30621249
130,1755869400,226.17,229.09,225.41,227.76,42477811
131,1756128600,226.48,229.3,226.23,227.16,30983133
132,1756215000,226.87,229.49,224.69,229.31,54575107
133,1756301400,228.61,230.9,228.26,230.49,31259513
134,1756387800,230.82,233.41,229.335,232.56,38074700
135,1756474200,232.51,233.38,231.37,232.14,39418437
136,1756819800,229.25,230.85,226.97,229.72,44075638
137,1756906200,237.21,238.85,234.36,238.47,66427835
138,1756992600,238.45,239.8999,236.74,239.78,47549429
139,1757079000,239.995,241.32,238.4901,239.69,54870397
140,1757338200,239.3,240.15,236.34,237.88,48999495
141,1757424600,237,238.7805,233.36,234.35,66313918
142,1757511000,232.185,232.42,225.95,226.79,83440810
143,1757597400,226.875,230.45,226.65,230.03,50208578
144,1757683800,229.22,234.51,229.02,234.07,55824216
145,1757943000,237,238.19,235.03,236.7,42699524
146,1758029400,237.175,241.22,236.3235,238.15,63421099
147,1758115800,238.97,240.1,237.7301,238.99,46508017
148,1758202200,239.97,241.2,236.65,237.88,44249576
149,1758288600,241.225,246.3,240.2106,245.5,163741314
150,1758547800,248.3,256.64,248.12,256.08,105517416
151,1758634200,255.875,257.34,253.58,254.43,60275187
152,1758720600,255.22,255.74,251.04,252.31,42303710
153,1758807000,253.205,257.17,251.712,256.87,55202075
154,1758893400,254.095,257.6,253.78,255.46,46076258
155,1759152600,254.56,255,253.01,254.43,40127687
156,1759239000,254.855,255.919,253.11,254.63,37704259
157,1759325400,255.04,258.79,254.93,255.45,48713940
158,1759411800,256.575,258.18,254.15,257.13,42630239
159,1759498200,254.665,259.24,253.95,258.02,49155614
160,1759757400,257.99,259.07,255.05,256.69,44664118
161,1759843800,256.805,257.4,255.43,256.48,31955776
162,1759930200,256.52,258.52,256.11,258.06,36496895
163,1760016600,257.805,258,253.14,254.04,38322012
164,1760103000,254.94,256.38,244,245.27,61999098
165,1760362200,249.38,249.69,245.56,247.66,38142942
166,1760448600,246.6,248.845,244.7,247.77,35477986
167,1760535000,249.485,251.82,247.47,249.34,33893611
168,1760621400,248.25,249.04,245.13,247.45,39776974
169,1760707800,248.02,253.38,247.27,252.29,49146961
170,1760967000,255.885,264.375,255.63,262.24,90483029
171,1761053400,261.88,265.29,261.83,262.77,46695948
172,1761139800,262.65,262.85,255.43,258.45,45015254
173,1761226200,259.94,260.62,258.0101,259.58,32754941
174,1761312600,261.19,264.13,259.18,262.82,38253717
175,1761571800,264.88,269.12,264.6501,268.81,44888152
176,1761658200,268.985,269.89,268.15,269,41534759
177,1761744600,269.275,271.41,267.11,269.7,51086742
178,1761831000,271.99,274.14,268.48,271.4,69886534
179,1761917400,276.99,277.32,269.16,270.37,86167123
180,1762180200,270.42,270.85,266.25,269.05,50194583
181,1762266600,268.325,271.486,267.615,270.04,49274846
182,1762353000,268.61,271.7,266.93,270.14,43683072
183,1762439400,267.89,273.4,267.89,269.77,51204045
184,1762525800,269.795,272.29,266.77,268.47,48227365
185,1762785000,268.96,273.73,267.455,269.43,41312412
186,1762871400,269.81,275.91,269.8,275.25,46208318
187,1762957800,275,275.73,271.7,273.47,48397982
188,1763044200,274.11,276.699,272.09,272.95,49602794
189,1763130600,271.05,275.96,269.6,272.41,47431331
190,1763389800,268.815,270.49,265.73,267.46,45018260
191,1763476200,269.99,270.71,265.32,267.44,45677278
