bar_index,tv_bar_time,tv_open,tv_high,tv_low,tv_close,tv_closedtrades_count,tv_position_size,tv_trade_no,tv_entry_bar_index,tv_exit_bar_index,tv_entry_price,tv_exit_price,tv_size,tv_profit
-1000017,1737556200,1737556200000,219.79,224.12,219.79,223.83,0,0,,,,,,,
-1000016,1737642600,1737642600000,224.74,227.03,222.3,223.66,0,0,,,,,,,
-1000015,1737729000,1737729000000,224.78,225.63,221.41,222.78,0,0,,,,,,,
-1000014,1737988200,1737988200000,224.02,232.15,223.98,229.86,0,0,,,,,,,
-1000013,1738074600,1738074600000,230.85,240.19,230.81,238.26,0,0,,,,,,,
-1000012,1738161000,1738161000000,234.12,239.855,234.01,239.36,0,0,,,,,,,
-1000011,1738247400,1738247400000,238.665,240.79,237.21,237.59,0,0,,,,,,,
-1000010,1738333800,1738333800000,247.19,247.19,233.44,236,0,0,,,,,,,
-1000009,1738593000,1738593000000,229.99,231.83,225.7,228.01,0,0,,,,,,,
-1000008,1738679400,1738679400000,227.25,233.13,226.65,232.8,0,0,,,,,,,
-1000007,1738765800,1738765800000,228.53,232.67,228.27,232.47,0,0,,,,,,,
-1000006,1738852200,1738852200000,231.285,233.8,230.425,233.22,0,0,,,,,,,
-1000005,1738938600,1738938600000,232.6,234,227.26,227.63,0,0,,,,,,,
-1000004,1739197800,1739197800000,229.57,230.585,227.2,227.65,0,0,,,,,,,
-1000003,1739284200,1739284200000,228.2,235.23,228.13,232.62,0,0,,,,,,,
-1000002,1739370600,1739370600000,231.2,236.96,230.68,236.87,0,0,,,,,,,
-1000001,1739457000,1739457000000,236.91,242.3399,235.57,241.53,0,0,,,,,,,
0,1739543400,1739543400000,241.25,245.55,240.99,244.6,0,0,,,,,,,
1,1739889000,1739889000000,244.15,245.18,241.84,244.47,0,0,,,,,,,
2,1739975400,1739975400000,244.66,246.01,243.1604,244.87,0,0,,,,,,,
3,1740061800,1740061800000,244.94,246.78,244.29,245.83,0,0,,,,,,,
4,1740148200,1740148200000,245.95,248.69,245.22,245.55,0,0,,,,,,,
5,1740407400,1740407400000,244.925,248.86,244.42,247.1,0,0,,,,,,,
6,1740493800,1740493800000,248,250,244.91,247.04,0,0,,,,,,,
7,1740580200,1740580200000,244.33,244.98,239.13,240.36,0,0,,,,,,,
8,1740666600,1740666600000,239.41,242.46,237.06,237.3,0,0,,,,,,,
9,1740753000,1740753000000,236.95,242.09,230.2,241.84,0,0,,,,,,,
10,1741012200,1741012200000,241.79,244.0272,236.112,238.03,0,0,,,,,,,
11,1741098600,1741098600000,237.705,240.07,234.68,235.93,0,0,,,,,,,
12,1741185000,1741185000000,235.42,236.55,229.23,235.74,0,0,,,,,,,
13,1741271400,1741271400000,234.435,237.86,233.1581,235.33,0,0,,,,,,,
14,1741357800,1741357800000,235.105,241.37,234.76,239.07,0,0,,,,,,,
15,1741613400,1741613400000,235.54,236.16,224.22,227.48,0,0,,,,,,,
16,1741699800,1741699800000,223.805,225.8399,217.45,220.84,0,0,,,,,,,
17,1741786200,1741786200000,220.14,221.75,214.91,216.98,0,0,,,,,,,
18,1741872600,1741872600000,215.95,216.8394,208.42,209.68,0,0,,,,,,,
19,1741959000,1741959000000,211.25,213.95,209.58,213.49,0,0,,,,,,,
20,1742218200,1742218200000,213.31,215.22,209.97,214,0,0,,,,,,,
21,1742304600,1742304600000,214.16,215.15,211.49,212.69,0,0,,,,,,,
22,1742391000,1742391000000,214.22,218.76,213.75,215.24,0,0,,,,,,,
23,1742477400,1742477400000,213.99,217.4899,212.22,214.1,0,0,,,,,,,
24,1742563800,1742563800000,211.56,218.84,211.28,218.27,0,0,,,,,,,
25,1742823000,1742823000000,221,221.48,218.58,220.73,0,0,,,,,,,
26,1742909400,1742909400000,220.77,224.1,220.08,223.75,0,0,,,,,,,
27,1742995800,1742995800000,223.51,225.02,220.47,221.53,0,0,,,,,,,
