bar_index,time,time_W,time_close_W,sec_w_gaps_on_la_off,sec_w_gaps_off_la_off,sec_w_gaps_on_la_on,sec_w_gaps_off_la_on
14,1741357800,1741381200000,1741012200000,239.07,239.07,,239.07
15,1741613400,1741636800000,1741613400000,,239.07,213.49,213.49
16,1741699800,1741723200000,1741613400000,,239.07,,213.49
17,1741786200,1741809600000,1741613400000,,239.07,,213.49
18,1741872600,1741896000000,1741613400000,,239.07,,213.49
19,1741959000,1741982400000,1741613400000,213.49,213.49,,213.49
20,1742218200,1742241600000,1742218200000,,213.49,218.27,218.27
21,1742304600,1742328000000,1742218200000,,213.49,,218.27
22,1742391000,1742414400000,1742218200000,,213.49,,218.27
23,1742477400,1742500800000,1742218200000,,213.49,,218.27
24,1742563800,1742587200000,1742218200000,218.27,218.27,,218.27
25,1742823000,1742846400000,1742823000000,,218.27,217.9,217.9
26,1742909400,1742932800000,1742823000000,,218.27,,217.9
27,1742995800,1743019200000,1742823000000,,218.27,,217.9
28,1743082200,1743105600000,1742823000000,,218.27,,217.9
29,1743168600,1743192000000,1742823000000,217.9,217.9,,217.9
30,1743427800,1743451200000,1743427800000,,217.9,188.38,188.38
31,1743514200,1743537600000,1743427800000,,217.9,,188.38
32,1743600600,1743624000000,1743427800000,,217.9,,188.38
33,1743687000,1743710400000,1743427800000,,217.9,,188.38
34,1743773400,1743796800000,1743427800000,188.38,188.38,,188.38
35,1744032600,1744056000000,1744032600000,,188.38,198.15,198.15
36,1744119000,1744142400000,1744032600000,,188.38,,198.15
37,1744205400,1744228800000,1744032600000,,188.38,,198.15
38,1744291800,1744315200000,1744032600000,,188.38,,198.15
39,1744378200,1744401600000,1744032600000,198.15,198.15,,198.15
40,1744637400,1744660800000,1744637400000,,198.15,196.98,196.98
41,1744723800,1744747200000,1744637400000,,198.15,,196.98
42,1744810200,1744833600000,1744637400000,,198.15,,196.98
43,1744896600,1744920000000,1744637400000,196.98,196.98,,196.98
44,1745242200,1745265600000,1745242200000,,196.98,209.28,209.28
45,1745328600,1745352000000,1745242200000,,196.98,,209.28
46,1745415000,1745438400000,1745242200000,,196.98,,209.28
47,1745501400,1745524800000,1745242200000,,196.98,,209.28
48,1745587800,1745611200000,1745242200000,209.28,209.28,,209.28
49,1745847000,1745870400000,1745847000000,,209.28,205.35,205.35
50,1745933400,1745956800000,1745847000000,,209.28,,205.35
51,1746019800,1746043200000,1745847000000,,209.28,,205.35
52,1746106200,1746129600000,1745847000000,,209.28,,205.35
53,1746192600,1746216000000,1745847000000,205.35,205.35,,205.35
54,1746451800,1746475200000,1746451800000,,205.35,198.53,198.53
55,1746538200,1746561600000,1746451800000,,205.35,,198.53
56,1746624600,1746648000000,1746451800000,,205.35,,198.53
57,1746711000,1746734400000,1746451800000,,205.35,,198.53
58,1746797400,1746820800000,1746451800000,198.53,198.53,,198.53
59,1747056600,1747080000000,1747056600000,,198.53,211.26,211.26
60,1747143000,1747166400000,1747056600000,,198.53,,211.26
61,1747229400,1747252800000,1747056600000,,198.53,,211.26
62,1747315800,1747339200000,1747056600000,,198.53,,211.26
63,1747402200,1747425600000,1747056600000,211.26,211.26,,211.26
64,1747661400,1747684800000,1747661400000,,211.26,195.27,195.27
65,1747747800,1747771200000,1747661400000,,211.26,,195.27
66,1747834200,1747857600000,1747661400000,,211.26,,195.27
67,1747920600,1747944000000,1747661400000,,211.26,,195.27
68,1748007000,1748030400000,1747661400000,195.27,195.27,,195.27
69,1748352600,1748376000000,1748352600000,,195.27,200.85,200.85
70,1748439000,1748462400000,1748352600000,,195.27,,200.85
71,1748525400,1748548800000,1748352600000,,195.27,,200.85
72,1748611800,1748635200000,1748352600000,200.85,200.85,,200.85
73,1748871000,1748894400000,1748871000000,,200.85,203.92,203.92
74,1748957400,1748980800000,1748871000000,,200.85,,203.92
75,1749043800,1749067200000,1748871000000,,200.85,,203.92
76,1749130200,1749153600000,1748871000000,,200.85,,203.92
77,1749216600,1749240000000,1748871000000,203.92,203.92,,203.92
78,1749475800,1749499200000,1749475800000,,203.92,196.45,196.45
79,1749562200,1749585600000,1749475800000,,203.92,,196.45
80,1749648600,1749672000000,1749475800000,,203.92,,196.45
81,1749735000,1749758400000,1749475800000,,203.92,,196.45
82,1749821400,1749844800000,1749475800000,196.45,196.45,,196.45
83,1750080600,1750104000000,1750080600000,,196.45,201,201
84,1750167000,1750190400000,1750080600000,,196.45,,201
85,1750253400,1750276800000,1750080600000,,196.45,,201
86,1750426200,1750449600000,1750080600000,201,201,,201
87,1750685400,1750708800000,1750685400000,,201,201.08,201.08
88,1750771800,1750795200000,1750685400000,,201,,201.08
89,1750858200,1750881600000,1750685400000,,201,,201.08
